ts_utc,equity,cash,n_positions,day_pct
2026-07-21T15:40:00Z,507.48,30.55,4,0.0068
2026-07-21T15:50:00Z,507.56,14.55,4,0.0069
2026-07-21T16:00:00Z,507.49,14.55,4,0.0068
2026-07-21T16:10:00Z,507.32,69.22,4,0.0064
2026-07-21T16:20:00Z,507.07,24.22,4,0.0059
2026-07-21T16:30:00Z,506.66,64.22,4,0.0051
2026-07-21T16:40:00Z,506.73,64.24,4,0.0053
2026-07-21T16:50:00Z,506.22,24.24,4,0.0043
2026-07-21T17:00:00Z,506.64,9.24,4,0.0051
2026-07-21T17:10:00Z,506.68,9.24,4,0.0052
2026-07-21T17:20:00Z,506.18,9.24,4,0.0042
2026-07-21T17:30:00Z,506.14,9.24,4,0.0041
2026-07-21T17:40:00Z,506.19,9.24,4,0.0042
2026-07-21T17:50:00Z,505.56,9.24,4,0.0029
2026-07-21T18:00:00Z,505.41,9.24,4,0.0026
2026-07-21T18:10:00Z,505.55,9.24,4,0.0029
2026-07-21T18:20:00Z,505.38,9.24,4,0.0026
2026-07-21T18:30:00Z,505.27,9.24,4,0.0024
2026-07-21T18:40:00Z,505.37,59.24,4,0.0026
2026-07-21T18:50:02Z,505.62,14.24,4,0.0031
2026-07-21T19:00:00Z,505.54,14.24,4,0.0029
2026-07-21T19:10:00Z,506.10,14.24,4,0.0040
2026-07-21T19:20:00Z,506.02,14.24,4,0.0039
2026-07-21T19:30:00Z,506.29,14.24,4,0.0044
2026-07-21T19:40:00Z,506.27,59.24,4,0.0043
2026-07-21T19:50:00Z,505.74,9.24,4,0.0033
2026-07-21T20:00:00Z,505.87,58.96,4,0.0035
2026-07-21T20:10:00Z,505.65,58.96,4,0.0031
2026-07-21T20:20:00Z,505.54,58.96,4,0.0029
2026-07-21T20:30:00Z,505.58,83.96,4,0.0030
2026-07-21T20:40:01Z,505.75,56.96,4,0.0033
2026-07-21T20:50:00Z,505.66,56.96,4,0.0031
2026-07-21T21:00:00Z,505.58,56.96,4,0.0030
2026-07-21T21:10:02Z,505.46,56.96,4,0.0027
2026-07-21T21:20:00Z,505.47,56.96,4,0.0028
2026-07-21T21:30:00Z,505.47,56.96,4,0.0028
2026-07-21T21:40:00Z,505.62,56.96,4,0.0031
2026-07-21T21:50:00Z,505.57,56.96,4,0.0030
2026-07-21T22:00:00Z,505.54,56.96,4,0.0029
2026-07-21T22:10:00Z,505.50,56.96,4,0.0028
2026-07-21T22:20:00Z,505.12,56.96,4,0.0021
2026-07-21T22:30:00Z,505.20,56.96,4,0.0022
2026-07-21T22:40:00Z,505.37,56.96,4,0.0026
2026-07-21T22:50:00Z,505.05,56.96,4,0.0019
2026-07-21T23:00:00Z,505.21,56.96,4,0.0023
2026-07-21T23:10:00Z,504.96,56.96,4,0.0017
2026-07-21T23:20:00Z,505.30,56.96,4,0.0024
2026-07-21T23:30:00Z,505.49,56.96,4,0.0028
2026-07-21T23:40:00Z,505.68,56.96,4,0.0032
2026-07-21T23:50:00Z,505.76,56.96,4,0.0033
2026-07-22T00:00:00Z,506.29,56.96,4,0.0044
2026-07-22T00:10:00Z,506.67,56.96,4,0.0051
2026-07-22T00:20:00Z,507.00,56.96,4,0.0058
2026-07-22T00:30:00Z,506.91,56.96,4,0.0056
2026-07-22T00:40:00Z,507.32,56.96,4,0.0064
2026-07-22T00:50:00Z,507.22,56.96,4,0.0062
2026-07-22T01:00:00Z,506.99,56.96,4,0.0058
2026-07-22T01:10:00Z,506.85,56.96,4,0.0055
2026-07-22T01:20:00Z,506.20,56.96,4,0.0042
2026-07-22T01:30:00Z,505.92,56.96,4,0.0037
2026-07-22T01:40:00Z,506.22,56.96,4,0.0043
2026-07-22T01:50:00Z,506.52,56.96,4,0.0048
2026-07-22T02:00:00Z,506.16,56.96,4,0.0041
2026-07-22T02:10:00Z,506.08,56.96,4,0.0040
2026-07-22T02:20:00Z,506.38,56.96,4,0.0046
2026-07-22T02:30:00Z,506.11,91.96,4,0.0040
2026-07-22T02:40:00Z,505.76,91.96,4,0.0033
2026-07-22T02:50:00Z,506.00,56.96,4,0.0038
2026-07-22T03:00:00Z,505.84,56.96,4,0.0035
2026-07-22T03:10:00Z,505.75,56.96,4,0.0033
2026-07-22T03:20:00Z,505.69,56.96,4,0.0032
2026-07-22T03:30:00Z,505.87,56.96,4,0.0036
2026-07-22T03:40:00Z,505.78,56.96,4,0.0034
2026-07-22T03:50:00Z,506.21,56.96,4,0.0042
2026-07-22T04:00:00Z,505.50,56.96,4,0.0000
2026-07-22T04:10:00Z,506.08,56.96,4,0.0012
2026-07-22T04:20:00Z,506.16,56.96,4,0.0013
2026-07-22T04:30:00Z,506.28,56.96,4,0.0015
2026-07-22T04:40:00Z,506.34,56.96,4,0.0017
2026-07-22T04:50:00Z,506.34,56.96,4,0.0017
2026-07-22T13:24:35Z,503.81,181.58,3,-0.0033
2026-07-22T13:30:00Z,503.18,145.87,4,-0.0046
2026-07-22T13:40:00Z,502.85,155.14,3,-0.0052
2026-07-22T13:50:00Z,503.38,220.94,3,-0.0042
2026-07-22T14:00:00Z,503.37,283.31,3,-0.0042
2026-07-22T14:10:00Z,503.72,283.42,3,-0.0035
2026-07-22T14:20:00Z,502.68,383.03,1,-0.0056
2026-07-22T14:30:00Z,502.11,383.03,1,-0.0067
